2022,50107,55972,-5865,274438,115892,158546,152681
2021,52188,55896,-3708,149665,111331,38334,34626
2020,42788,51759,-8971,118760,62236,56524,47553
2019,52379,54834,-2455,203843,87491,116352,113897
2018,50353,53042,-2689,177216,78003,99213,96524
2017,52536,48320,4216,151878,94582,57296,61512
2016,51192,47303,3889,128474,83241,45233,49122
2015,54754,49651,5103,113990,92994,20996,26099
2014,54339,50926,3413,99543,108495,-8952,-5539
2013,52205,52902,-697,85908,106657,-20749,-21446
2012,53987,57642,-3655,92625,98776,-6151,-9806
2011,58562,58744,-182,118146,100589,17557,17375
2010,58301,59082,-781,124494,113741,10753,9972
2009,58493,61320,-2827,125252,111427,13825,10998
2008,61071,65153,-4082,176613,81326,95287,91205
2007,60642,71283,-10641,201733,67214,134519,123878
2006,53907,65669,-11762,186570,51473,135097,123335
2005,51433,61209,-9776,162936,26630,136306,126530
2004,52617,55605,-2988,154131,21258,132873,129885
2003,49912,48895,1017,59880,4805,55075,56092
