Año;municipio;edad quinquenal;sexo;concepto;estado;valor
2000;Barcelona;de 0 a 4 años;hombres;población;;1.9229869555279608
2000;Barcelona;de 0 a 4 años;mujeres;población;;1.807232136531873
2000;Barcelona;de 0 a 4 años;total;población;;3.7302190920598335
2000;Barcelona;de 5 a 9 años;hombres;población;;1.902536046398167
2000;Barcelona;de 5 a 9 años;mujeres;población;;1.822871067042892
2000;Barcelona;de 5 a 9 años;total;población;;3.7254071134410593
2000;Barcelona;de 10 a 14 años;hombres;población;;2.031122808377655
2000;Barcelona;de 10 a 14 años;mujeres;población;;1.9324104136563955
2000;Barcelona;de 10 a 14 años;total;población;;3.96353322203405
2000;Barcelona;de 15 a 19 años;hombres;población;;2.610231068539952
2000;Barcelona;de 15 a 19 años;mujeres;población;;2.475562500250624
2000;Barcelona;de 15 a 19 años;total;población;;5.085793568790576
2000;Barcelona;de 20 a 24 años;hombres;población;;3.5710896324584
2000;Barcelona;de 20 a 24 años;mujeres;población;;3.4627532804995904
2000;Barcelona;de 20 a 24 años;total;población;;7.03384291295799
2000;Barcelona;de 25 a 29 años;hombres;población;;3.9869916178005775
2000;Barcelona;de 25 a 29 años;mujeres;población;;3.8545953727478937
2000;Barcelona;de 25 a 29 años;total;población;;7.841586990548472
2000;Barcelona;de 30 a 34 años;hombres;población;;3.733828076023916
2000;Barcelona;de 30 a 34 años;mujeres;población;;3.7729254023014622
2000;Barcelona;de 30 a 34 años;total;población;;7.506753478325378
2000;Barcelona;de 35 a 39 años;hombres;población;;3.5386756098180405
2000;Barcelona;de 35 a 39 años;mujeres;población;;3.750469502080513
2000;Barcelona;de 35 a 39 años;total;población;;7.289145111898553
2000;Barcelona;de 40 a 44 años;hombres;población;;3.286982394841559
2000;Barcelona;de 40 a 44 años;mujeres;población;;3.5974218487889185
2000;Barcelona;de 40 a 44 años;total;población;;6.8844042436304775
2000;Barcelona;de 45 a 49 años;hombres;población;;2.994253695532746
2000;Barcelona;de 45 a 49 años;mujeres;población;;3.3711251876337496
2000;Barcelona;de 45 a 49 años;total;población;;6.365378883166496
2000;Barcelona;de 50 a 54 años;hombres;población;;3.19542113501209
2000;Barcelona;de 50 a 54 años;mujeres;población;;3.602968990807784
2000;Barcelona;de 50 a 54 años;total;población;;6.798390125819874
2000;Barcelona;de 55 a 59 años;hombres;población;;2.9254156680697148
2000;Barcelona;de 55 a 59 años;mujeres;población;;3.2496895605460527
2000;Barcelona;de 55 a 59 años;total;población;;6.175105228615768
2000;Barcelona;de 60 a 64 años;hombres;población;;2.5266229400387363
2000;Barcelona;de 60 a 64 años;mujeres;población;;2.9688571417114336
2000;Barcelona;de 60 a 64 años;total;población;;5.49548008175017
2000;Barcelona;de 65 a 69 años;hombres;población;;2.789343606016577
2000;Barcelona;de 65 a 69 años;mujeres;población;;3.503588265722806
2000;Barcelona;de 65 a 69 años;total;población;;6.292931871739383
2000;Barcelona;de 70 a 74 años;hombres;población;;2.376582773383877
2000;Barcelona;de 70 a 74 años;mujeres;población;;3.3653775465057683
2000;Barcelona;de 70 a 74 años;total;población;;5.741960319889645
2000;Barcelona;de 75 a 79 años;hombres;población;;1.7535652083252578
2000;Barcelona;de 75 a 79 años;mujeres;población;;2.897212126720784
2000;Barcelona;de 75 a 79 años;total;población;;4.650777335046041
2000;Barcelona;de 80 a 84 años;hombres;población;;0.9260385519687008
2000;Barcelona;de 80 a 84 años;mujeres;población;;1.9333460761656016
2000;Barcelona;de 80 a 84 años;total;población;;2.8593846281343023
2000;Barcelona;de 85 a 89 años;hombres;población;;0.4935619736062973
2000;Barcelona;de 85 a 89 años;mujeres;población;;1.2305966987153354
2000;Barcelona;de 85 a 89 años;total;población;;1.724158672321633
2000;Barcelona;de 90 a 94 años;hombres;población;;0.1594636247832938
2000;Barcelona;de 90 a 94 años;mujeres;población;;0.5104038987720098
2000;Barcelona;de 90 a 94 años;total;población;;0.6698675235553037
2000;Barcelona;de 95 a 99 años;hombres;población;;0.0316120262038969
2000;Barcelona;de 95 a 99 años;mujeres;población;;0.1186286395600782
2000;Barcelona;de 95 a 99 años;total;población;;0.1502406657639751
2000;Barcelona;100 años o más;hombres;población;;0.0030743196731062
2000;Barcelona;100 años o más;mujeres;población;;0.0125646108379125
2000;Barcelona;100 años o más;total;población;;0.0156389305110187
2000;Barcelona;total;hombres;población;;46.75939973240053
2000;Barcelona;total;mujeres;población;;53.24060026759948
2000;Barcelona;total;total;población;;1496266.0
2001;Barcelona;de 0 a 4 años;hombres;población;;2.0258748110873066
2001;Barcelona;de 0 a 4 años;mujeres;población;;1.9167953764137315
2001;Barcelona;de 0 a 4 años;total;población;;3.942670187501038
2001;Barcelona;de 5 a 9 años;hombres;población;;1.900851975487021
2001;Barcelona;de 5 a 9 años;mujeres;población;;1.8276451928985435
2001;Barcelona;de 5 a 9 años;total;población;;3.728497168385565
2001;Barcelona;de 10 a 14 años;hombres;población;;1.9778453157955924
2001;Barcelona;de 10 a 14 años;mujeres;población;;1.874611794795144
2001;Barcelona;de 10 a 14 años;total;población;;3.852457110590736
2001;Barcelona;de 15 a 19 años;hombres;población;;2.474880839685782
2001;Barcelona;de 15 a 19 años;mujeres;población;;2.3606862305482204
2001;Barcelona;de 15 a 19 años;total;población;;4.835567070234003
2001;Barcelona;de 20 a 24 años;hombres;población;;3.415275771012904
2001;Barcelona;de 20 a 24 años;mujeres;población;;3.33436301130985
2001;Barcelona;de 20 a 24 años;total;población;;6.749638782322754
2001;Barcelona;de 25 a 29 años;hombres;población;;4.129274409180741
2001;Barcelona;de 25 a 29 años;mujeres;población;;3.9788085629349146
2001;Barcelona;de 25 a 29 años;total;población;;8.108082972115657
2001;Barcelona;de 30 a 34 años;hombres;población;;3.842758208360321
2001;Barcelona;de 30 a 34 años;mujeres;población;;3.829937056781758
2001;Barcelona;de 30 a 34 años;total;población;;7.672695265142079
2001;Barcelona;de 35 a 39 años;hombres;población;;3.630445252686297
2001;Barcelona;de 35 a 39 años;mujeres;población;;3.826416222410443
2001;Barcelona;de 35 a 39 años;total;población;;7.45686147509674
2001;Barcelona;de 40 a 44 años;hombres;población;;3.352631491538372
2001;Barcelona;de 40 a 44 años;mujeres;población;;3.661601315330576
2001;Barcelona;de 40 a 44 años;total;población;;7.014232806868948
2001;Barcelona;de 45 a 49 años;hombres;población;;3.0116420042183583
2001;Barcelona;de 45 a 49 años;mujeres;población;;3.381263182369256
2001;Barcelona;de 45 a 49 años;total;población;;6.392905186587614
2001;Barcelona;de 50 a 54 años;hombres;población;;3.097603507548204
2001;Barcelona;de 50 a 54 años;mujeres;población;;3.5213658180127214
2001;Barcelona;de 50 a 54 años;total;población;;6.618969325560926
2001;Barcelona;de 55 a 59 años;hombres;población;;2.8642984073206783
2001;Barcelona;de 55 a 59 años;mujeres;población;;3.22966801189112
2001;Barcelona;de 55 a 59 años;total;población;;6.093966419211798
2001;Barcelona;de 60 a 64 años;hombres;población;;2.552737780877884
2001;Barcelona;de 60 a 64 años;mujeres;población;;2.949994187301745
2001;Barcelona;de 60 a 64 años;total;población;;5.502731968179629
2001;Barcelona;de 65 a 69 años;hombres;población;;2.706392307309053
2001;Barcelona;de 65 a 69 años;mujeres;población;;3.3912278079484497
2001;Barcelona;de 65 a 69 años;total;población;;6.097620115257502
2001;Barcelona;de 70 a 74 años;hombres;población;;2.3666650058957366
2001;Barcelona;de 70 a 74 años;mujeres;población;;3.355089432514573
2001;Barcelona;de 70 a 74 años;total;población;;5.721754438410311
2001;Barcelona;de 75 a 79 años;hombres;población;;1.8019364589042235
2001;Barcelona;de 75 a 79 años;mujeres;población;;2.915649444472124
2001;Barcelona;de 75 a 79 años;total;población;;4.717585903376348
2001;Barcelona;de 80 a 84 años;hombres;población;;0.9368076661186122
2001;Barcelona;de 80 a 84 años;mujeres;población;;1.9787089166791223
2001;Barcelona;de 80 a 84 años;total;población;;2.9155165827977347
2001;Barcelona;de 85 a 89 años;hombres;población;;0.4905917326823111
2001;Barcelona;de 85 a 89 años;mujeres;población;;1.2352149867968711
2001;Barcelona;de 85 a 89 años;total;población;;1.7258067194791822
2001;Barcelona;de 90 a 94 años;hombres;población;;0.1634862903359739
2001;Barcelona;de 90 a 94 años;mujeres;población;;0.5179612376064969
2001;Barcelona;de 90 a 94 años;total;población;;0.6814475279424709
2001;Barcelona;de 95 a 99 años;hombres;población;;0.0286316908308836
2001;Barcelona;de 95 a 99 años;mujeres;población;;0.123893511367977
2001;Barcelona;de 95 a 99 años;total;población;;0.1525252021988607
2001;Barcelona;100 años o más;hombres;población;;0.0036536960457044
2001;Barcelona;100 años o más;mujeres;población;;0.0148140766944015
2001;Barcelona;100 años o más;total;población;;0.0184677727401059
2001;Barcelona;total;hombres;población;;46.77428462292196
2001;Barcelona;total;mujeres;población;;53.22571537707804
2001;Barcelona;total;total;población;;1505325.0
2002;Barcelona;de 0 a 4 años;hombres;población;;2.070796691963672
2002;Barcelona;de 0 a 4 años;mujeres;población;;1.9600049764600345
2002;Barcelona;de 0 a 4 años;total;población;;4.030801668423706
2002;Barcelona;de 5 a 9 años;hombres;población;;1.912270247971765
2002;Barcelona;de 5 a 9 años;mujeres;población;;1.8219736902415544
2002;Barcelona;de 5 a 9 años;total;población;;3.73424393821332
2002;Barcelona;de 10 a 14 años;hombres;población;;1.9441588800345733
2002;Barcelona;de 10 a 14 años;mujeres;población;;1.847903666210491
2002;Barcelona;de 10 a 14 años;total;población;;3.792062546245064
2002;Barcelona;de 15 a 19 años;hombres;población;;2.3218460047538287
2002;Barcelona;de 15 a 19 años;mujeres;población;;2.241698806304389
2002;Barcelona;de 15 a 19 años;total;población;;4.563544811058218
2002;Barcelona;de 20 a 24 años;hombres;población;;3.3784270457506924
2002;Barcelona;de 20 a 24 años;mujeres;población;;3.236597934769086
2002;Barcelona;de 20 a 24 años;total;población;;6.615024980519778
2002;Barcelona;de 25 a 29 años;hombres;población;;4.300643665817613
2002;Barcelona;de 25 a 29 años;mujeres;población;;4.0886857561927465
2002;Barcelona;de 25 a 29 años;total;población;;8.38932942201036
2002;Barcelona;de 30 a 34 años;hombres;población;;4.031783864483136
2002;Barcelona;de 30 a 34 años;mujeres;población;;3.9239387371577865
2002;Barcelona;de 30 a 34 años;total;población;;7.955722601640923
2002;Barcelona;de 35 a 39 años;hombres;población;;3.791276789397521
2002;Barcelona;de 35 a 39 años;mujeres;población;;3.875549211296564
2002;Barcelona;de 35 a 39 años;total;población;;7.666826000694085
2002;Barcelona;de 40 a 44 años;hombres;población;;3.422953267111492
2002;Barcelona;de 40 a 44 años;mujeres;población;;3.701111191141901
2002;Barcelona;de 40 a 44 años;total;población;;7.124064458253393
2002;Barcelona;de 45 a 49 años;hombres;población;;3.050700960587746
2002;Barcelona;de 45 a 49 años;mujeres;población;;3.406255934101192
2002;Barcelona;de 45 a 49 años;total;población;;6.456956894688939
2002;Barcelona;de 50 a 54 años;hombres;población;;3.026277018576601
2002;Barcelona;de 50 a 54 años;mujeres;población;;3.443710343834101
2002;Barcelona;de 50 a 54 años;total;población;;6.469987362410702
2002;Barcelona;de 55 a 59 años;hombres;población;;2.8834657115355653
2002;Barcelona;de 55 a 59 años;mujeres;población;;3.278766885587255
2002;Barcelona;de 55 a 59 años;total;población;;6.16223259712282
2002;Barcelona;de 60 a 64 años;hombres;población;;2.419017934900045
2002;Barcelona;de 60 a 64 años;mujeres;población;;2.770644124175774
2002;Barcelona;de 60 a 64 años;total;población;;5.189662059075819
2002;Barcelona;de 65 a 69 años;hombres;población;;2.6378512169409176
2002;Barcelona;de 65 a 69 años;mujeres;población;;3.3022741112762657
2002;Barcelona;de 65 a 69 años;total;población;;5.940125328217183
2002;Barcelona;de 70 a 74 años;hombres;población;;2.322566281864077
2002;Barcelona;de 70 a 74 años;mujeres;población;;3.268552046569189
2002;Barcelona;de 70 a 74 años;total;población;;5.591118328433266
2002;Barcelona;de 75 a 79 años;hombres;población;;1.810252817265697
2002;Barcelona;de 75 a 79 años;mujeres;población;;2.919479567047977
2002;Barcelona;de 75 a 79 años;total;población;;4.7297323843136745
2002;Barcelona;de 80 a 84 años;hombres;población;;0.9774160386068532
2002;Barcelona;de 80 a 84 años;mujeres;población;;2.027252666662301
2002;Barcelona;de 80 a 84 años;total;población;;3.0046687052691543
2002;Barcelona;de 85 a 89 años;hombres;población;;0.4924076244606106
2002;Barcelona;de 85 a 89 años;mujeres;población;;1.2276795945494667
2002;Barcelona;de 85 a 89 años;total;población;;1.720087219010077
2002;Barcelona;de 90 a 94 años;hombres;población;;0.1636338635009396
2002;Barcelona;de 90 a 94 años;mujeres;población;;0.5182066409549565
2002;Barcelona;de 90 a 94 años;total;población;;0.6818405044558962
2002;Barcelona;de 95 a 99 años;hombres;población;;0.0303825981050164
2002;Barcelona;de 95 a 99 años;mujeres;población;;0.1308939948532926
2002;Barcelona;de 95 a 99 años;total;población;;0.161276592958309
2002;Barcelona;100 años o más;hombres;población;;0.0036668652885364
2002;Barcelona;100 años o más;mujeres;población;;0.0170247316967764
2002;Barcelona;100 años o más;total;población;;0.0206915969853128
2002;Barcelona;total;hombres;población;;46.9917953889169
2002;Barcelona;total;mujeres;población;;53.0082046110831
