2023;3977;3666;7643
2022;4053;3866;7919
2021;3986;3593;7579
2020;4293;3770;8063
2019;3708;3333;7041
2018;3805;3421;7226
2017;3626;3400;7026
2016;3563;3293;6856
2015;3665;3345;7010
2014;3404;3075;6479
2013;3454;3068;6522
2012;3445;3264;6709
2011;3406;3025;6431
2010;3337;2975;6312
2009;3392;2980;6372
2008;3328;2984;6312
2007;3305;2888;6193
2006;3188;2828;6016
2005;3367;3035;6402
2004;3188;2800;5988
2003;3189;2892;6081
2002;3112;2750;5862
2001;2926;2558;5484
2000;2911;2614;5525
1999;3038;2680;5718
1998;2841;2578;5419
1997;2789;2548;5337
1996;2766;2431;5197
1995;2818;2479;5297
1994;2718;2473;5191
1993;2726;2333;5059
1992;2610;2265;4875
1991;2537;2378;4915
1990;2665;2318;4983
1989;2568;2275;4843
1988;2431;2166;4597
1987;2404;2064;4468
1986;2346;2140;4486
1985;2426;2258;4684
1984;2349;2181;4530
1983;2438;2185;4623
1982;2358;2014;4372
1981;2372;2197;4569
1980;2453;2121;4574
1979;2293;2201;4494
1978;2498;2253;4751
1977;2470;2321;4791
1976;2520;2314;4834
1975;2488;2371;4859

